"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/15/2026","Buy","LPKFF","LPKF LASER & ELECT ORDF","387","$25.62","$50.00","-$9964.94"
"05/15/2026","Buy","AOSL","ALPHA & OMEGA SEMICOND F","259","$38.555","","-$9985.75"
"05/15/2026","Buy to Open","BWEN 07/17/2026 2.50 C","CALL BROADWIND INC $2.5 EXP 07/17/26","18","$1.65","$11.91","-$2981.91"
"05/15/2026","Sell","AMKR","AMKOR TECHNOLOGY INC","216","$70.2205","$0.35","$15167.28"
"05/15/2026","Sell","AMPX","AMPRIUS TECHNOLOGIES INC","625","$16.9701","$0.34","$10605.97"
"05/15/2026","Buy to Open","VIVO 07/17/2026 2.50 C","CALL VIVOPOWER PLC $2.5 EXP 07/17/26","60","$2.30","$39.71","-$13839.71"
"05/15/2026","Sell","AEHR","AEHR TEST SYS","116","$97.8955","$0.25","$11355.63"
"05/15/2026","Buy","SLNH","SOLUNA HOLDINGS INC","18,957","$2.1099","","-$39997.37"
"05/15/2026","Sell","VPG","VISHAY PRECISION GROUP I","104","$94.60","$0.22","$9838.18"
"05/15/2026","Sell","VECO","VEECO INSTRS INC DEL","234","$56.76","$0.32","$13281.52"
"05/15/2026","Sell","AEHR","AEHR TEST SYS","116","$95.55","$0.25","$11083.55"
"05/15/2026","Sell","SIVEF","SIVERS SEMICONDUCT ORDF","1,000","$5.80","$50.32","$5749.68"
"05/13/2026","Buy to Open","VIVO 07/17/2026 2.50 C","CALL VIVOPOWER PLC $2.5 EXP 07/17/26","20","$1.8665","$13.24","-$3746.24"
"05/13/2026","Sell","FPLSF","5N PLUS INC F","197","$29.315","$7.11","$5767.95"
"05/12/2026","Buy","OUST","OUSTER INC CLASS A","302","$26.5092","","-$8005.78"
"05/12/2026","Buy","NRGV","ENERGY VAULT HLDGS INC","1,969","$5.0799","","-$10002.32"
"05/12/2026","Sell","MRVL","MARVELL TECHNOLOGY INC","111","$161.08","$0.39","$17879.49"
"05/04/2026","Buy","VPG","VISHAY PRECISION GROUP I","104","$61.6415","","-$6410.72"
"05/04/2026","Sell","AEHR","AEHR TEST SYS","22","$88.9437","$0.04","$1956.72"
"05/04/2026","Sell","OPTX","SYNTEC OPTICS HLDGS INC CLASS A","521","$8.4226","$0.19","$4387.98"
"04/22/2026","Buy","ALMU","AELUMA INC","439","$18.1284","","-$7958.37"
"04/22/2026","Sell","PLAB","PHOTRONICS INC","150","$49.7764","$0.18","$7466.28"
"04/17/2026","Buy","SILC","SILICOM LTD F","176","$28.3702","","-$4993.16"
"04/17/2026","Buy","OPTX","SYNTEC OPTICS HLDGS INC CLASS A","521","$9.5833","","-$4992.90"
"04/16/2026","Buy","VECO","VEECO INSTRS INC DEL","234","$42.83","","-$10022.22"
"04/15/2026","Sell","VIST","VISTA ENERGY SAB DE AD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","87","$64.73","$0.14","$5631.37"
"04/15/2026","Sell","MAXXF","MAX PWR MNG CORP F","5,303","$0.9418","$8.08","$4986.29"
"04/10/2026","Buy","PLAB","PHOTRONICS INC","150","$45.185","","-$6777.75"
"04/10/2026","Sell","YPF","YPF SOCIEDAD ANONIMA FSPONSORED ADR 1 ADR REPS 1 ORD SHS","146","$42.703","$0.16","$6234.48"
"04/06/2026","Buy","LPTH","LIGHTPATH TECHNOLOGIES ICLASS CLASS A","90","$11.045","","-$994.05"
"04/06/2026","Buy","MAXXF","MAX PWR MNG CORP F","5,303","$0.9243","$6.95","-$4908.74"
"04/02/2026","Buy","AMPX","AMPRIUS TECHNOLOGIES INC","625","$15.00","","-$9375.00"
"04/01/2026","Buy","AEHR","AEHR TEST SYS","254","$39.4216","","-$10013.09"
"04/01/2026","Buy","AMKR","AMKOR TECHNOLOGY INC","216","$46.4755","","-$10038.71"
"04/01/2026","Sell","ASTS","AST SPACEMOBILE INC CLASS A","61","$83.735","$0.01","$5107.83"
"04/01/2026","Sell","CIFR","CIPHER DIGITAL INC","308","$12.8143","$0.06","$3946.74"
"04/01/2026","Sell","IREN","IREN LTD F","186","$33.74","$0.04","$6275.60"
"03/31/2026","Buy","YPF","YPF SOCIEDAD ANONIMA FSPONSORED ADR 1 ADR REPS 1 ORD SHS","146","$48.22","","-$7040.12"
"03/31/2026","Sell","KRKNF","KRAKEN ROBOTICS INC F","701","$5.6678","$7.09","$3966.04"
"03/31/2026","Sell","CRDO","CREDO TECHNOLOGY GROUP F","68","$90.0401","$0.01","$6122.72"
"03/26/2026","Sell","SNDK","SANDISK CORP","10","$608.085","","$6080.85"
"03/26/2026","Sell","MU","MICRON TECHNOLOGY INC","22","$352.36","","$7751.92"
"03/26/2026","Sell","VCX","FUNDRISE INNOVATION FUND","22","$203.00","","$4466.00"
"03/25/2026","Buy","IQEPF","IQE PLC ORDF","7,371","$0.4035","$50.00","-$3024.20"
"03/25/2026","Sell","OUST","OUSTER INC CLASS A","227","$20.305","$0.04","$4609.20"
"03/25/2026","Buy","FPLSF","5N PLUS INC F","197","$25.266","$6.95","-$4984.35"
"03/25/2026","Sell","SNDK","SANDISK CORP","5","$681.75","","$3408.75"
"03/25/2026","Buy","VCX","FUNDRISE INNOVATION FUND","22","$440.00","","-$9680.00"
"03/25/2026","Buy","SLOIF","SOITEC ORDF","79","$63.55","$70.08","-$5090.53"
"03/25/2026","Buy","LPTH","LIGHTPATH TECHNOLOGIES ICLASS CLASS A","413","$12.115","","-$5003.50"
"03/25/2026","Buy","IQEPF","IQE PLC ORDF","12,504","$0.3977","$50.00","-$5022.84"
"03/25/2026","Sell","CRDO","CREDO TECHNOLOGY GROUP F","55","$102.25","$0.01","$5623.74"
"03/25/2026","Sell","DRS","LEONARDO DRS INC","111","$45.7496","$0.02","$5078.19"
"03/23/2026","Buy","SIVEF","SIVERS SEMICONDUCT ORDF","3,996","$1.244","$50.00","-$5021.02"
"03/19/2026","Sell","USAS","AMERICAS GOLD & SILVER F","804","$5.96","$0.16","$4791.68"
"03/17/2026","Buy","MU","MICRON TECHNOLOGY INC","22","$455.125","","-$10012.75"
"03/16/2026","Buy","MRVL","MARVELL TECHNOLOGY INC","111","$90.6999","","-$10067.69"
"03/16/2026","Buy","OUST","OUSTER INC CLASS A","227","$21.9899","","-$4991.71"
"03/16/2026","Sell","FSM","FORTUNA MNG CORP F","495","$10.475","$0.10","$5185.03"
"03/13/2026","Buy","DRS","LEONARDO DRS INC","111","$44.835","","-$4976.69"
"03/13/2026","Buy","KRKNF","KRAKEN ROBOTICS INC F","701","$7.111","$6.95","-$4991.76"
"03/13/2026","Sell","MUX","MCEWEN INC","173","$23.4801","$0.03","$4062.03"
"03/13/2026","Sell","GLGDF","GOGOLD RES INC F","1,310","$2.229","$7.21","$2912.78"
"03/13/2026","Sell","EXK","ENDEAVOUR SILVER CORP F","365","$10.155","$0.07","$3706.51"
"03/13/2026","Sell","ZURA","ZURA BIO LTD FCLASS A","683","$6.535","$0.13","$4463.28"
"03/10/2026","Buy","ZURA","ZURA BIO LTD FCLASS A","683","$7.267","","-$4963.36"
"02/24/2026","Sell","SMR","NUSCALE PWR CORP CLASS A","316","$12.40","$0.06","$3918.34"
"02/24/2026","Buy","VIST","VISTA ENERGY SAB DE AD FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","87","$57.10","","-$4967.70"
"02/24/2026","Buy","SNDK","SANDISK CORP","15","$682.48","","-$10237.20"
"02/24/2026","Sell","ISOU","ISOENERGY LTD F","306","$10.90","$0.06","$3335.34"
"02/13/2026","Buy","CRDO","CREDO TECHNOLOGY GROUP F","123","$122.05","","-$15012.15"
"02/13/2026","Sell","URG","UR-ENERGY INC F","2,958","$1.58","$0.58","$4673.06"
"02/12/2026","Sell","USAR","USA RARE EARTH INC CLASS CLASS A","292","$19.185","$0.06","$5601.96"
"02/12/2026","Sell","DVS","DOLLY VARDEN SILVER CO F","792","$4.521","$0.15","$3580.48"
"02/12/2026","Sell","LAC","LITHIUM AMERS CORP F","872","$4.5501","$0.17","$3967.52"
"02/12/2026","Sell","NB","NIOCORP DEVS LTD F","464","$5.605","$0.09","$2600.63"
"02/12/2026","Sell","IE","IVANHOE ELEC INC","172","$16.0479","$0.03","$2760.21"
"02/12/2026","Sell","SDST","STARDUST PWR INC","506","$3.335","$0.10","$1687.41"
"02/12/2026","Sell","GENMF","GENERATION MNG LIMITED F","6,173","$0.5746","$8.15","$3538.86"
"02/12/2026","Sell","FLY","FIREFLY AEROSPACE INC","130","$19.184","$0.03","$2493.89"
"02/12/2026","Sell","ARRNF","AMERICAN RARE EART ORDF","10,144","$0.28","$51.98","$2788.34"
"02/12/2026","Sell","AREC","AMERICAN RES CORP CLASS A","836","$2.875","$0.16","$2403.34"
"02/12/2026","Sell","USAU","U.S. GOLD CORP","252","$16.045","$0.05","$4043.29"
"02/12/2026","Sell","ALAB","ASTERA LABS INC","43","$130.60","$0.01","$5615.79"
"02/12/2026","Sell","ISVLF","IMPACT SILVER CORP F","13,836","$0.2813","$9.65","$3882.09"
"02/12/2026","Sell","DNCVF","DEFIANCE SILVER CORP F","16,298","$0.2394","$10.13","$3891.37"
"02/12/2026","Sell","TE","T1 ENERGY INC","614","$6.203","$0.12","$3808.52"
"02/12/2026","Sell","IMSR","TERRESTRIAL ENERGY INC CLASS A","408","$6.995","$0.08","$2853.88"
"02/12/2026","Sell","SES","SES AI CORP CLASS A","1,673","$1.725","$0.33","$2885.60"
"02/12/2026","Sell","NUAI","NEW ERA EN & DIG","676","$4.7939","$0.13","$3240.55"
"02/12/2026","Sell","AEVA","AEVA TECHNOLOGIES INC","219","$12.2952","$0.04","$2692.61"
"01/28/2026","Buy","ARRNF","AMERICAN RARE EART ORDF","10,144","$0.3451","$50.00","-$3550.69"
"01/28/2026","Sell","REEMF","RARE ELEMENT RES LTD F","3,031","$0.9915","$7.54","$2997.54"
"01/27/2026","Buy","DNCVF","DEFIANCE SILVER CORP F","16,298","$0.316","$6.95","-$5157.12"
"01/27/2026","Buy","EXK","ENDEAVOUR SILVER CORP F","365","$13.7075","","-$5003.24"
"01/27/2026","Sell","POET","POET TECHNOLOGIES INC F","499","$6.825","$0.10","$3405.58"
"01/27/2026","Sell","ALMU","AELUMA INC","204","$16.7413","$0.04","$3415.19"
"01/27/2026","Sell","KOPN","KOPIN CORP","1,661","$2.765","$0.32","$4592.35"
"01/27/2026","Buy","ISVLF","IMPACT SILVER CORP F","13,836","$0.3614","$6.95","-$5007.28"
"01/26/2026","Buy","LAC","LITHIUM AMERS CORP F","177","$6.1699","","-$1092.07"
"01/23/2026","Buy","ALMU","AELUMA INC","35","$17.00","","-$595.00"
"01/23/2026","Buy","NUAI","NEW ERA EN & DIG","280","$7.1232","","-$1994.50"
"01/23/2026","Buy","NUAI","NEW ERA EN & DIG","396","$7.02","","-$2779.92"
"01/22/2026","Buy","REEMF","RARE ELEMENT RES LTD F","3,031","$0.9874","$6.95","-$2999.71"
"01/22/2026","Sell","VRMTF","VERSAMET ROYALTIES COR F","359","$10.50","$7.02","$3762.48"
"01/22/2026","Buy","LAC","LITHIUM AMERS CORP F","695","$5.76","","-$4003.20"
"01/22/2026","Buy","NB","NIOCORP DEVS LTD F","464","$6.45","","-$2992.80"
"01/22/2026","Buy","SES","SES AI CORP CLASS A","1,673","$2.48","","-$4149.04"
"01/22/2026","Buy","IREN","IREN LTD F","23","$55.00","","-$1265.00"
"01/22/2026","Buy","AEVA","AEVA TECHNOLOGIES INC","219","$18.42","","-$4033.98"
"01/21/2026","Sell","ETH","GRAYSCALE ETHEREUM STAKI","140","$27.1554","$0.03","$3801.73"
"01/20/2026","Buy","VRMTF","VERSAMET ROYALTIES COR F","359","$11.56","$6.95","-$4156.99"
"01/20/2026","Sell","AGMRF","SILVER MTN RES INC F","990","$2.96","$7.14","$2923.26"
"01/20/2026","Buy","USAU","U.S. GOLD CORP","252","$19.83","","-$4997.16"
"01/20/2026","Sell","SIL","GLOBAL X SILVER MINERS ETF","104","$103.16","$0.02","$10728.62"
"01/20/2026","Buy","MUX","MCEWEN INC","173","$23.12","","-$3999.76"
"01/20/2026","Sell","COPX","GLOBAL X COPPER MINERS ETF","60","$81.55","$0.01","$4892.99"
"01/20/2026","Buy","DVS","DOLLY VARDEN SILVER CO F","792","$5.18","","-$4102.56"
"01/20/2026","Buy","ISOU","ISOENERGY LTD F","306","$11.25","","-$3442.50"
"01/20/2026 as of 01/16/2026","Expired","ETHA 01/16/2026 46.00 C","CALL ISHRS ETHEREUM TRST$46 EXP 01/16/26","-12","","",""
"01/16/2026","Buy","TE","T1 ENERGY INC","614","$8.1463","","-$5001.83"
"01/16/2026","Buy","AREC","AMERICAN RES CORP CLASS A","836","$3.56","","-$2976.16"
"01/16/2026","Buy","KOPN","KOPIN CORP","1,661","$3.29","","-$5464.69"
"01/16/2026","Buy","USAR","USA RARE EARTH INC CLASS CLASS A","292","$16.92","","-$4940.64"
"01/16/2026","Buy","USAS","AMERICAS GOLD & SILVER F","804","$6.12","","-$4920.48"
"01/15/2026","Buy","COPX","GLOBAL X COPPER MINERS ETF","60","$82.4769","","-$4948.61"
"01/15/2026","Buy","SIL","GLOBAL X SILVER MINERS ETF","104","$95.829","","-$9966.22"
"01/15/2026","Buy","SDST","STARDUST PWR INC","506","$3.85","","-$1948.10"
"01/15/2026","Buy","AGMRF","SILVER MTN RES INC F","990","$2.9971","$6.95","-$2974.07"
"01/15/2026","Buy","GENMF","GENERATION MNG LIMITED F","6,173","$0.4849","$6.95","-$3000.24"
"01/15/2026","Buy","GLGDF","GOGOLD RES INC F","1,310","$2.2735","$6.95","-$2985.24"
"01/15/2026","Sell","PATH","UIPATH INC CLASS CLASS A","374","$15.286","$0.07","$5716.89"
"01/15/2026","Buy","FSM","FORTUNA MNG CORP F","495","$10.1199","","-$5009.35"
"01/15/2026","Buy","IE","IVANHOE ELEC INC","172","$17.455","","-$3002.26"
"01/13/2026","Buy","SMR","NUSCALE PWR CORP CLASS A","50","$20.08","","-$1004.00"
"01/12/2026","Buy","IMSR","TERRESTRIAL ENERGY INC CLASS A","408","$9.41","","-$3839.28"
"01/12/2026","Sell","CCCX","CHURCHILL CAPITAL FCLASS A","181","$18.50","$0.04","$3348.46"
