Date	Action	Symbol	Description	Quantity	Price	Fees & Comm	Amount
05/15/2026	Buy	BWEN	BROADWIND INC	1,512	$3.90		-$5896.80
05/15/2026	Buy	FLNC	FLUENCE ENERGY INC CLASS CLASS A	499	$20.07		-$10014.93
05/15/2026	Sell	P	EVERPURE INC CLASS A	123	$80.73	$0.22	$9929.57
05/15/2026	Sell	LWLG	LIGHTWAVE LOGIC INC	473	$13.67	$0.22	$6465.69
05/12/2026	Buy	SLNH	SOLUNA HOLDINGS INC	5,404	$1.61		-$8698.81
05/12/2026	Buy	P	EVERPURE INC CLASS A	123	$81.34		-$10004.82
05/12/2026	Sell	ARM	ARM HLDGS PLC EQUITY A FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS	84	$212.05	$0.39	$17811.81
05/12/2026	Buy to Open	SKYT 06/26/2026 35.00 C	CALL SKYWATER TECHNOLOGY$35 EXP 06/26/26	4	$2.40	$2.64	-$962.64
05/12/2026	Buy to Open	FCEL 06/26/2026 17.00 C	CALL FUELCELL ENERGY INC$17 EXP 06/26/26	4	$3.20	$2.65	-$1282.65
05/12/2026	Buy to Open	GSIT 06/18/2026 12.50 C	CALL GSI TECHNOLOGY INC $12.5 EXP 06/18/26	6	$2.00	$3.97	-$1203.97
05/07/2026	Buy	ARM	ARM HLDGS PLC EQUITY A FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS	84	$214.16		-$17989.44
05/07/2026	Sell	INTT	INTEST CORP	522	$16.41	$0.28	$8565.74
05/07/2026	Sell	HIMX	HIMAX TECHNOLOGIES INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS	817	$16.27	$0.43	$13292.24
05/05/2026	Buy	HIMX	HIMAX TECHNOLOGIES INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS	817	$12.20		-$9967.40
05/05/2026	Buy	PENG	PENGUIN SOLUTIONS INC DE	422	$35.47		-$14968.34
05/05/2026	Sell	SIVEF	SIVERS SEMICONDUCT ORDF	4,000	$6.03	$50.78	$24049.22
05/04/2026	Buy	INTT	INTEST CORP	522	$19.03		-$9931.05
05/04/2026	Sell	EOPSF	ELECTRO OPTIC SYST ORDF	1,071	$6.57	$50.21	$6986.26
05/04/2026	Sell	OPTX	SYNTEC OPTICS HLDGS INC CLASS A	512	$8.47	$0.19	$4336.45
04/10/2026	Buy	LWLG	LIGHTWAVE LOGIC INC	473	$9.40		-$4444.45
04/10/2026	Buy	OPTX	SYNTEC OPTICS HLDGS INC CLASS A	512	$9.73		-$4981.76
04/09/2026	Buy	SIVEF	SIVERS SEMICONDUCT ORDF	4,000	$1.23	$50.00	-$4970.00
04/08/2026	Buy	EOPSF	ELECTRO OPTIC SYST ORDF	1,071	$7.01	$50.00	-$7557.71
04/08/2026	Sell	UVXY	PROSHARES ULTRA VIX SHORT-TERM FUTURES ETF	192	$44.73	$0.22	$8587.94
04/07/2026	Buy	TRT	TRIO TECH INTL	1,160	$6.44		-$7464.60
04/07/2026	Sell	ONDS	ONDAS INC	1,038	$9.46	$0.40	$9819.18
04/07/2026	Sell	AXTI	AXT INC	210	$44.12	$0.23	$9264.99
04/01/2026	Buy	UVXY	PROSHARES ULTRA VIX SHORT-TERM FUTURES ETF	192	$51.91		-$9966.72
04/01/2026	Sell	OPTX	SYNTEC OPTICS HLDGS INC CLASS A	145	$8.22	$0.03	$1191.15
04/01/2026	Sell	OPTX	SYNTEC OPTICS HLDGS INC CLASS A	406	$8.25	$0.08	$3349.46
04/01/2026	Sell	OSS	ONE STOP SYS INC	461	$7.35	$0.09	$3388.26
03/16/2026	Buy	OPTX	SYNTEC OPTICS HLDGS INC CLASS A	551	$7.24		-$3986.49
03/13/2026	Sell	ASTI	ASCENT SOLAR TECHNOL EQUCLASS EQUITY	669	$5.34	$0.13	$3570.26
03/10/2026	Sell	TPET	TRIO PETE CORP	2,358	$1.57	$0.46	$3701.84
03/09/2026	Buy	TPET	TRIO PETE CORP	2,358	$2.13		-$5010.75
02/24/2026	Buy	AXTI	AXT INC	210	$29.90		-$6279.00
02/12/2026	Sell	ASPI	ASP ISOTOPES INC	707	$5.22	$0.14	$3686.87
02/12/2026	Sell	SPAI	SAFE PRO GROUP INC EQUITCLASS EQUITY	714	$3.99	$0.14	$2845.15
02/12/2026	Sell	UMAC	UNUSUAL MACHS INC NE EQUCLASS EQUITY	181	$11.92	$0.04	$2157.48
02/12/2026	Sell	CCCX	CHURCHILL CAPITAL FCORP ACT EXP: 02/10/26	231	$13.21	$0.05	$3052.24
01/09/2026	Buy	UMAC	UNUSUAL MACHS INC NE EQUCLASS EQUITY	181	$15.04		-$2722.24
01/07/2026	Buy	ASTI	ASCENT SOLAR TECHNOL EQUCLASS EQUITY	378	$3.90		-$1473.07
01/07/2026	Buy	CCCX	CHURCHILL CAPITAL FCLASS A	231	$17.21		-$3975.51
01/06/2026	Buy	ASTI	ASCENT SOLAR TECHNOL EQUCLASS EQUITY	291	$5.14		-$1496.06
01/06/2026	Buy	OSS	ONE STOP SYS INC	461	$6.49		-$2991.89
01/05/2026	Sell	NBIS	NEBIUS GROUP N V A FCLASS A	76	$91.33	$0.01	$6941.08
01/05/2026	Buy	NBIS	NEBIUS GROUP N V A FCLASS A	76	$91.34		-$6941.84
01/05/2026	Sell	PALL	ABRDN PHYSICAL PALLADIUMSHARES ETF	26	$155.58		$4045.08
01/05/2026	Buy	ASPI	ASP ISOTOPES INC	707	$6.00		-$4242.00
01/05/2026	Buy	SPAI	SAFE PRO GROUP INC EQUITCLASS EQUITY	714	$4.22		-$3013.08
01/05/2026	Sell	GEVO	GEVO INC	1,464	$2.09	$0.24	$3059.52
01/02/2026	Buy	GEVO	GEVO INC	1,464	$2.05		-$2996.52
01/02/2026	Sell	RIVN	RIVIAN AUTOMOTIVE INC CLASS CLASS A	228	$19.18	$0.04	$4373.07
01/02/2026	Sell	BBAI	BIGBEAR AI HLDGS INC	440	$5.76	$0.07	$2535.74
01/02/2026	Sell	SOLT	2X SOLANA ETF	187.7418	$7.07	$0.03	$1327.32
12/22/2025	Sell	UPWK	UPWORK INC	118	$21.08	$0.02	$2486.83
12/16/2025	Buy	UPWK	UPWORK INC	118	$21.32		-$2516.02
12/16/2025	Sell	BYND	BEYOND MEAT INC	1,893	$1.08	$0.31	$2048.29
12/02/2025	Buy	BYND	BEYOND MEAT INC	1,893	$1.32		-$2497.81
12/01/2025	Sell	BYND	BEYOND MEAT INC	2,489	$1.21	$0.41	$3012.03
12/01/2025	Buy	PALL	ABRDN PHYSICAL PALLADIUMSHARES ETF	26	$131.04		-$3407.04
12/01/2025	Sell	RIOT	RIOT PLATFORMS INC	167	$15.68	$0.03	$2619.33
